LIST,IP_ADDRESS,SITE_CODE,CANONICAL_LOCATION,NET_TYPE,CIDR,HOST_MASTER_MATCH,SERVER_NAME,PRIMARY_ACRONYM,APM_IDS,APP_ACRONYMS,BUSINESS_UNIT,HERITAGE,TECH_OWNER,GATEWAY_OBJECT_NAME,PARENT_FW_SERIAL,PARENT_DEVICE_GROUPS,PARENT_AMBIGUOUS,EVENT_COUNT,TOTAL_VISIT_VOLUME,FIRST_SEEN,LAST_SEEN,NOTES
CORRELATION_LOG_SOURCE_IP,10.113.180.134,US_NYC_NY_CO1,New York NY - Aetna Corporate,Corporate,10.113.180.0/24,N,,,,,,,,,,,,1,69,2025/10/07 12:03:44,2025/10/07 12:03:44,
CORRELATION_LOG_SOURCE_IP,10.116.233.176,US_SOU_MI_CO,Southfield MI - Corporate,Corporate,10.116.233.0/24,N,,,,,,,,,,,,1,21,2025/10/09 14:27:30,2025/10/09 14:27:30,
CORRELATION_LOG_SOURCE_IP,10.141.0.116,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.0.0/24,N,,,,,,,,,,,,3,90,2025/12/10 16:11:25,2025/12/26 10:20:06,
CORRELATION_LOG_SOURCE_IP,10.141.0.149,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.0.0/24,N,,,,,,,,,,,,1,25,2026/01/16 08:30:17,2026/01/16 08:30:17,
CORRELATION_LOG_SOURCE_IP,10.141.0.155,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.0.0/24,N,,,,,,,,,,,,1,31,2026/02/05 08:36:39,2026/02/05 08:36:39,
CORRELATION_LOG_SOURCE_IP,10.141.0.215,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.0.0/24,N,,,,,,,,,,,,4,133,2025/09/29 07:47:42,2026/02/03 05:57:00,
CORRELATION_LOG_SOURCE_IP,10.141.0.49,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.0.0/24,N,,,,,,,,,,,,2,25,2025/11/17 05:16:33,2025/12/30 11:26:36,
CORRELATION_LOG_SOURCE_IP,10.141.0.90,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.0.0/24,N,,,,,,,,,,,,1,30,2026/02/09 13:23:21,2026/02/09 13:23:21,
CORRELATION_LOG_SOURCE_IP,10.141.1.128,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.1.0/24,N,,,,,,,,,,,,1,11,2026/01/16 16:46:30,2026/01/16 16:46:30,
CORRELATION_LOG_SOURCE_IP,10.141.1.132,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.1.0/24,N,,,,,,,,,,,,1,13,2025/09/11 13:05:26,2025/09/11 13:05:26,
CORRELATION_LOG_SOURCE_IP,10.141.1.166,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.1.0/24,N,,,,,,,,,,,,1,23,2025/10/08 09:59:38,2025/10/08 09:59:38,
CORRELATION_LOG_SOURCE_IP,10.141.1.243,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.1.0/24,N,,,,,,,,,,,,1,13,2025/09/10 13:30:08,2025/09/10 13:30:08,
CORRELATION_LOG_SOURCE_IP,10.141.1.50,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.1.0/24,N,,,,,,,,,,,,1,29,2025/11/07 12:20:09,2025/11/07 12:20:09,
CORRELATION_LOG_SOURCE_IP,10.141.10.119,US_AZR_UE2_IS,Cloud - Azure East US 2,User-Access-VDI,10.141.0.0/20,N,,,,,,,,,,,,1,29,2026/02/03 15:03:43,2026/02/03 15:03:43,
